Date Time, Water Level, Sigma, I, L 
2021-01-01 00:00,3.825,0.039,0,0
2021-01-01 01:00,5.328,0.059,0,0
2021-01-01 02:00,7.215,0.072,0,0
2021-01-01 03:00,9.514,0.059,0,0
2021-01-01 04:00,11.581,0.056,0,0
2021-01-01 05:00,12.507,0.026,0,0
2021-01-01 06:00,12.306,0.030,0,0
2021-01-01 07:00,11.161,0.075,0,0
2021-01-01 08:00,9.373,0.069,0,0
2021-01-01 09:00,7.162,0.072,0,0
2021-01-01 10:00,5.381,0.052,0,0
2021-01-01 11:00,4.311,0.036,0,0
2021-01-01 12:00,4.925,0.039,0,0
2021-01-01 13:00,6.480,0.049,0,0
2021-01-01 14:00,8.566,0.056,0,0
2021-01-01 15:00,10.948,0.089,0,0
2021-01-01 16:00,12.920,0.062,0,0
2021-01-01 17:00,14.108,0.030,0,0
2021-01-01 18:00,13.990,0.036,0,0
2021-01-01 19:00,12.562,0.056,0,0
2021-01-01 20:00,10.587,0.059,0,0
2021-01-01 21:00,7.986,0.062,0,0
2021-01-01 22:00,5.571,0.075,0,0
2021-01-01 23:00,3.885,0.046,0,0
2021-01-02 00:00,3.077,0.026,0,0
2021-01-02 01:00,4.183,0.049,0,0
2021-01-02 02:00,5.817,0.059,0,0
2021-01-02 03:00,8.025,0.072,0,0
2021-01-02 04:00,10.331,0.066,0,0
2021-01-02 05:00,12.100,0.036,0,0
2021-01-02 06:00,12.864,0.013,0,0
2021-01-02 07:00,12.477,0.072,0,0
2021-01-02 08:00,11.191,0.049,0,0
2021-01-02 09:00,9.580,0.056,0,0
2021-01-02 10:00,7.503,0.098,0,0
2021-01-02 11:00,5.837,0.056,0,0
2021-01-02 12:00,5.344,0.043,0,0
2021-01-02 13:00,6.175,0.102,0,0
2021-01-02 14:00,7.884,0.075,0,0
2021-01-02 15:00,10.138,0.052,0,0
2021-01-02 16:00,12.323,0.098,0,0
2021-01-02 17:00,14.331,0.039,0,0
2021-01-02 18:00,14.961,0.013,0,0
2021-01-02 19:00,14.524,0.023,0,0
2021-01-02 20:00,13.163,0.075,0,0
2021-01-02 21:00,10.518,0.066,0,0
2021-01-02 22:00,8.225,0.075,0,0
2021-01-02 23:00,5.748,0.089,0,0
2021-01-03 00:00,3.625,0.059,0,0
2021-01-03 01:00,3.648,0.020,0,0
2021-01-03 02:00,4.409,0.039,0,0
2021-01-03 03:00,6.325,0.095,0,0
2021-01-03 04:00,8.734,0.079,0,0
2021-01-03 05:00,11.024,0.059,0,0
2021-01-03 06:00,13.061,0.036,0,0
2021-01-03 07:00,13.389,0.013,0,0
2021-01-03 08:00,12.966,0.026,0,0
2021-01-03 09:00,11.453,0.056,0,0
2021-01-03 10:00,9.373,0.072,0,0
2021-01-03 11:00,7.175,0.059,0,0
2021-01-03 12:00,5.469,0.043,0,0
2021-01-03 13:00,5.026,0.036,0,0
2021-01-03 14:00,6.335,0.062,0,0
2021-01-03 15:00,7.966,0.062,0,0
2021-01-03 16:00,9.875,0.075,0,0
2021-01-03 17:00,12.162,0.072,0,0
2021-01-03 18:00,13.753,0.039,0,0
2021-01-03 19:00,14.567,0.043,0,0
2021-01-03 20:00,13.776,0.052,0,0
2021-01-03 21:00,12.283,0.062,0,0
2021-01-03 22:00,9.997,0.082,0,0
2021-01-03 23:00,7.949,0.066,0,0
2021-01-04 00:00,5.804,0.043,0,0
2021-01-04 01:00,4.577,0.033,0,0
2021-01-04 02:00,5.135,0.039,0,0
2021-01-04 03:00,6.519,0.043,0,0
2021-01-04 04:00,8.409,0.072,0,0
2021-01-04 05:00,10.692,0.069,0,0
2021-01-04 06:00,12.884,0.062,0,0
2021-01-04 07:00,14.180,0.026,0,0
2021-01-04 08:00,13.950,0.030,0,0
2021-01-04 09:00,12.936,0.036,0,0
2021-01-04 10:00,11.112,0.066,0,0
2021-01-04 11:00,8.806,0.072,0,0
2021-01-04 12:00,6.749,0.075,0,0
2021-01-04 13:00,5.151,0.030,0,0
2021-01-04 14:00,5.236,0.030,0,0
2021-01-04 15:00,6.404,0.046,0,0
2021-01-04 16:00,8.196,0.062,0,0
2021-01-04 17:00,10.312,0.069,0,0
2021-01-04 18:00,12.684,0.059,0,0
2021-01-04 19:00,14.186,0.052,0,0
2021-01-04 20:00,14.242,0.030,0,0
2021-01-04 21:00,13.661,0.062,0,0
2021-01-04 22:00,12.159,0.062,0,0
2021-01-04 23:00,10.194,0.079,0,0
2021-01-05 00:00,7.815,0.102,0,0
2021-01-05 01:00,5.912,0.043,0,0
2021-01-05 02:00,5.184,0.026,0,0
2021-01-05 03:00,5.725,0.052,0,0
2021-01-05 04:00,7.221,0.052,0,0
2021-01-05 05:00,9.029,0.069,0,0
2021-01-05 06:00,11.332,0.075,0,0
2021-01-05 07:00,13.343,0.059,0,0
2021-01-05 08:00,14.580,0.033,0,0
2021-01-05 09:00,14.423,0.030,0,0
2021-01-05 10:00,13.264,0.036,0,0
2021-01-05 11:00,11.555,0.072,0,0
2021-01-05 12:00,9.272,0.059,0,0
2021-01-05 13:00,7.392,0.052,0,0
2021-01-05 14:00,6.102,0.036,0,0
2021-01-05 15:00,6.194,0.039,0,0
2021-01-05 16:00,7.503,0.049,0,0
2021-01-05 17:00,9.055,0.062,0,0
2021-01-05 18:00,11.175,0.082,0,0
2021-01-05 19:00,13.235,0.066,0,0
2021-01-05 20:00,14.551,0.039,0,0
2021-01-05 21:00,14.662,0.049,0,0
2021-01-05 22:00,13.829,0.052,0,0
2021-01-05 23:00,12.126,0.066,0,0
2021-01-06 00:00,10.030,0.075,0,0
2021-01-06 01:00,7.772,0.069,0,0
2021-01-06 02:00,5.951,0.052,0,0
2021-01-06 03:00,5.213,0.033,0,0
2021-01-06 04:00,6.007,0.046,0,0
2021-01-06 05:00,7.520,0.069,0,0
2021-01-06 06:00,9.551,0.072,0,0
2021-01-06 07:00,11.900,0.059,0,0
2021-01-06 08:00,13.842,0.046,0,0
2021-01-06 09:00,14.774,0.030,0,0
2021-01-06 10:00,14.478,0.039,0,0
2021-01-06 11:00,13.291,0.056,0,0
2021-01-06 12:00,11.375,0.072,0,0
2021-01-06 13:00,9.222,0.072,0,0
2021-01-06 14:00,7.024,0.066,0,0
2021-01-06 15:00,5.771,0.036,0,0
2021-01-06 16:00,5.758,0.036,0,0
2021-01-06 17:00,6.926,0.062,0,0
2021-01-06 18:00,8.609,0.043,0,0
2021-01-06 19:00,10.650,0.059,0,0
2021-01-06 20:00,12.569,0.059,0,0
2021-01-06 21:00,13.806,0.043,0,0
2021-01-06 22:00,13.950,0.039,0,0
2021-01-06 23:00,13.077,0.059,0,0
2021-01-07 00:00,11.289,0.072,0,0
2021-01-07 01:00,9.209,0.069,0,0
2021-01-07 02:00,6.988,0.062,0,0
2021-01-07 03:00,5.105,0.056,0,0
2021-01-07 04:00,4.482,0.033,0,0
2021-01-07 05:00,5.404,0.046,0,0
2021-01-07 06:00,7.047,0.075,0,0
2021-01-07 07:00,9.150,0.069,0,0
2021-01-07 08:00,11.506,0.082,0,0
2021-01-07 09:00,13.494,0.049,0,0
2021-01-07 10:00,14.544,0.016,0,0
2021-01-07 11:00,14.160,0.033,0,0
2021-01-07 12:00,12.795,0.049,0,0
2021-01-07 13:00,10.948,0.095,0,0
2021-01-07 14:00,8.678,0.075,0,0
2021-01-07 15:00,6.601,0.056,0,0
2021-01-07 16:00,5.052,0.033,0,0
2021-01-07 17:00,4.902,0.039,0,0
2021-01-07 18:00,6.158,0.052,0,0
2021-01-07 19:00,7.703,0.059,0,0
2021-01-07 20:00,9.780,0.059,0,0
2021-01-07 21:00,11.811,0.059,0,0
2021-01-07 22:00,13.297,0.033,0,0
2021-01-07 23:00,13.481,0.026,0,0
2021-01-08 00:00,12.507,0.039,0,0
2021-01-08 01:00,10.935,0.069,0,0
2021-01-08 02:00,8.832,0.066,0,0
2021-01-08 03:00,6.693,0.072,0,0
2021-01-08 04:00,4.800,0.056,0,0
2021-01-08 05:00,4.147,0.030,0,0
2021-01-08 06:00,5.289,0.049,0,0
2021-01-08 07:00,6.936,0.059,0,0
2021-01-08 08:00,8.990,0.059,0,0
2021-01-08 09:00,11.348,0.082,0,0
2021-01-08 10:00,13.396,0.046,0,0
